Titel|Autoren|Schriftenreihe|Kategorien|Publikationsdatum|Verlag|Seiten|ISBN
Fotobuch für alle|Werner Wurst|||1985|VEB Fotokinoverlag Leipzig|232|
Fotografie mit der Praktica|Roger Rössing|||1986|VEB Fotokinoverlag Leipzig|208|
FotoGuide Minolta Dynax 700si|Artur Landt|||1994|vfv Verlag|176|9783889550279
Foundation|Isaac Asimov|||1997|Heyne|907|9783453127739
Fractals: Images of Chaos (Penguin Press Science S.)|Hans Lauwerier|||01/04/2000|Penguin Books Ltd|224|9780140144116
Fraktale und Finanzen: Märkte zwischen Risiko, Rendite und Ruin|Benoît B. Mandelbrot, Richard L. Hudson|||01/05/2005|Piper|448|9783492046329
Frank Laufenbergs Rock- und Pop-Lexikon|Frank Laufenberg, Ingrid Hake|||1994|Econ|608|9783612261021
Frankenstein|Mary W. Shelley|||1995|Heyne TB|250|9783453082427
Franziskus: Der Papst der Armen - die exklusive Biografie|Heiko Haupt|||28/03/2013|Riva|177|9783868833270
Fremdsprachige Schriftsteller|Herbert Greiner-Mai|||1982|VEB Bibliographisches Institut Leipzig|735|
Friedhof der Kuscheltiere: Roman (Heyne Allgemeine Reihe (01))|Stephen King|||1988|Heyne|460|3453007867
Friedrich Nietzsche: Leben – Schriften – Zeugnisse (insel taschenbuch)|Ralph-Rainer Wuthenow|||27/02/2000|Insel Verlag|170|9783458343011
Fritz the Cat - F.A.Z. Comic-Klassiker, Band 19|Robert Crumb|||2006|Frankfurter Allgemeine Zeitung|256|9783899811001
Für ein paar Leichen mehr. Der Italo-Western von seinen Anfängen bis heute|Ulrich P Bruckner|||2006|Schwarzkopf & Schwarzkopf|750|9783896027054
Für Nächte am offenen Fenster: Die prachtvollsten Texte 1988-2002|Max Goldt|||10/09/2003|Rowohlt Buchverlag|512|3498024965
Gardening for Dummies (For Dummies (Computer/Tech))|Michael MacCaskey, Bill Marken|||1999|Hungry Minds Inc,U.S.|404|785555551305
Gast im Weltraum|Stanislaw Lem|||1968|Volk und Welt, Berlin|437|
Gates|Stephen Manes, Paul Andrews||Biography & Autobiography|01/01/1993|Addison-Wesley|473|9783893195930
Gattin aus Holzabfällen|Max Goldt|||2010|Rowohlt Berlin|112|9783871346958
Gebirgsfotografie|Sieghard Liebe||Fotokunst|1986|Leipzig : Fotokinoverlag,|199|3731100320
Gedenkstätte/Museum Seelower Höhen|Richard Lakowski||Militaria|1992|Brandenburgisches Verlagshaus Berlin|48|
Gedichte, Verse, Sprüche|Christian Morgenstern||||Eurobooks, Heitersh.|626|9783850496018
Geheime Botschaften. Die Kunst der Verschlüsselung von der Antike bis in die Zeiten des Internet.|Simon Singh, Klaus Fritz|||01/12/2001|dtv Verlagsgesellschaft|464|9783423330718
Gehölze pflanzen und pflegen (Ulmer Taschenbücher)|Andreas Bärtels|||1995|Verlag Eugen Ulmer|127|9783800168309
Gemalte Spielkarten|Detlef Hoffmann|||1985|INSEL|158|345832612X
Genau besehen. Verse und Anekdoten|Eugen Roth|||12/2000|Dtv|145|3423007494
Generation Golf|Florian Illies||Literary Criticism|2001|Distribooks|217|9783596150656
Generation X|Douglas Coupland||Generation X|1995|Goldmann Verlag|255|9783442414192
Geologische Exkursionen in der Oberlausitz und im Elbsandsteingebirge|Andreas Gerth|||2006|Oberlausitzer Verlag|320|3933827590
Geologische Streifzüge|Otfried Wagenbreth, Walter Steiner||Geologie|1982|VEB Deutscher Verlag für Grundstoffindustrie, Leipzig|196|9783662447284
Georg Friedrich Händel (Biographien. Bastei Lübbe Taschenbücher)|Eugen Ortner|||1985|Lübbe|400|9783404611980
Gesammelte Werke 1: 3 Romane in einem Band: Die bewohnte Insel; Ein Käfer im Ameisenhaufen; Die Wellen ersticken den Wind|Arkadi Strugatzki, Boris Strugatzki|||19/04/2010|Heyne Verlag|913|9783453526303
Gesammelte Werke 2|Arkadij N. Strugackij, Boris Strugatzki, Aljonna Möckel|||2010|Heyne Verlag|911|9783453526310
Geschichte der deutschen Einheits-Lokomotiven (Die Dampflokomotiven der Reichsbahn und ihre Konstrukteure)|Alfred B. Gottwaldt|||1999|Kosmos|176|9783440079416
Geschichte der Philosophie. Band 1: Altertum und Mittelalter|Johannes Hirschberger|||1960|Herder|584|
Geschichte der Philosophie. Band 2: Neuzeit und Gegenwart|Johannes Hirschberger|||1958|Herder|640|
Geschichte der Römischen Kaiserzeit|Georg Weber||||Vollmer|639|3888512042
Geschichte der Schmalspurbahn Mosel-Ortmannsdorf|Reiner Heinrich, Stefan Rasch||Eisenbahn|1982|Polydruck Radebeul|48|
Geschichte der Sozialistischen Einheitspartei Deutschlands|AK|||1978|Dietz Verlag Berlin|677|
Geschichte des Luftkriegs 1910 bis 1970|Olaf Groehler||Militaria|1975|Militärverlag der DDR|703|
Geschichte des Wohnens, 5 Bde., Bd.5, 1945 bis heute, Aufbau, Neubau, Umbau|Ingeborg Flagge|||01/11/1999|Deutsche Verlags-Anstalt DVA|1072|9783421031150
Geschichten aus dem gefährlichen Königreich|J.R.R. Tolkien, Alan Lee|||2011|Klett-Cotta Verlag|333|9783608938265
Gesteinsbestimmungsbuch|Rudolf Jubelt, Peter Schreiter|||1972|VEB Deutscher Verlag für Grundstoffindustrie|198|
Gestutzte Flügel: Geschichten aus der DDR|Barbara Heinecke, Arnold Vaatz|||2000|Krämer, Reinhold|240|3896220381
Gipfel des Unwahrscheinlichen: Wunder der Evolution|Richard Dawkins, Sebastian Vogel|||01/06/2001|Rowohlt Taschenbuch Verlag|392|9783499609329
Gitarre für Dummies|Mark Phillips, Jon Chappell, Daniela Thoma||Music|30/06/2006|John Wiley & Sons|375|9783527702619
Go für Einsteiger. Regeln, Techniken, Übungen.|Hideo Otake, Sotoyoshi Futakuchi|||1996|Falken-Vlg., Niedernh.|175|9783806816921
Good News from Tolkien's Middle Earth|Gracia Fay Ellwood|||1970|William B. Eerdmans|160|0802812856
GPS. Essentials of Satellite Navigation|Jean-Marie Zogg|||2009|u-blox AG|176|9783033021396
Gratwanderungen: Priester unter zwei Diktaturen|Hermann Scheipers|||10/2007|St. Benno|200|9783746212210
GrauBunt|Jürgen Hohmuth|||22/09/2020|Edition Braus Berlin GmbH|152|9783862282142
Greif zur Feder, Kumpel|Günther Rüther||Authors, German|1991||220|3770009169
"Grundkurs zum ""Kapital"""|Walter Schellenberg|||1967|Dietz Verlag Berlin|138|
Hacks für digitale Fotografie|Peter Recktenwald|||2014|O'Reilly Verlag GmbH & Co. KG|320|9783955616441
Haiopeis|Thomas Siemensen|||1993|Achterbahn Verlag|0|9783928950084
Handbuch der Heuschnupfentherapie. Konventionelle Therapie - bewährte Naturheilverfahren|Karl-Heinz Friese||Medizin|2000|Sonntag|232|9783877581605
Handbuch für Zeitreisende: Von den Dinosauriern bis zum Fall der Mauer|Kathrin Passig, Aleks Scholz|||19/05/2020|Rowohlt Berlin|323|9783737100854
Handwörterbuch zur deutschen Einheit ( broschiert )|Werner Weidenfeld, Karl-Rudolph (Hrsg.) Korte|||1992|Campus Verlag Frankfurt/Main|800|389331153X
Hans Magnus Enzensberger (Sammlung Metzler)|Frank Dietschreit, Barbara Heinze-Dietschreit|||01/06/1986|J.B. Metzler|188|3476102238
Hans Und Grete: Bilder der RAF 1967-1977|Astrid Proll|||1998|Aufbau-Verlag|159|3351025971
Hauptgewinn: die Erde|Philip K. Dick||Science fiction|2021|FISCHER Taschenbuch|223|9783596906949
Headway Upper-Intermediate, Student's Book|Liz Soars||Sprachen|1994|Oxford University Press|135|9780194335591
Hegemony or Survival|Noam Chomsky||Political Science|01/09/2004|Henry Holt, LLC|301|9780805076882
Heidern|Jack Womack|||08/1994|Heyne|281|9783453062177
Heimat in DDR-Medien|AK|||1998|Bundeszentrale für politische Bildung|184|3893313389
Helden wie wir: Roman|Thomas Brussig|||01/04/1998|FISCHER Taschenbuch|336|9783596133314
Helmut Newton's Illustrated: No. 1 - No. 4|Helmut Newton||Fotokunst|2000|Schirmer /Mosel Verlag GmbH|136|9783888146138
Hemingways Stuhl|Michael Palin|||1996|Haffmans Verlag|310|3251003100
Henri Cartier-Bresson|Clément Chéroux|||2008|Schirmer /Mosel Verlag Gm|159|9783829603775
Herbstmilch: Lebenserinnerungen einer Bäuerin|Anna Wimschneider|||1989|Piper|154|9783492107402
Herder / Spektrum Meisterdenker: Marx, 1818 - 1883|Iring Fetscher||||Freiburg im Breisgau [u.a.], Herder, 2004,|159|3926642483
Hermann Hesse, Spurensuche im Tessin|Jean-Philippe de Tonnac, Daniel Faure, Hermann Hesse||||Gerstenberg (gebrüder)|168|9783806728224
Herr der Fliegen: Roman|William Golding|||1977|Fischer|229|9783596214624
Herr Lehmann: Ein Roman|Sven Regener|||2001|Eichborn|304|9783821807058
Hier ist Spaß gratiniert|Bastian Sick||German language|2010|KiWi-Taschenbuch|181|9783462042238
Hier kommt Michelle. Ein Campusroman, Bd. 1|Annette Pehnt|||01/12/2010|Jos Fritz|140|9783928013543
Himmelsfotografie: Die schönsten Motive bei Tag und Nacht|Stefan Seip|||2009|Franckh Kosmos Verlag|144|9783440112908
Hinter den sieben Bergen|Christoph Dieckmann|||2000|Dtv|248|9783423361767
Historischer Führer Bezirke Leipzig, Karl-Marx-Stadt|AK||Heimat|1980|Urania-Verlag|356|
Hohenstein-Ernstha Sachsen: In alter Zeit|Wolfgang Hallmann||Heimat|1991|Geiger-Verlag, Horb am Neckar|96|3892646155
Hohenstein-Ernstthal|Regina Röhner, Rainer Klis||Heimat|2008|Klis'sche Verlagsbuchhandlung Hohenstein-Ernstthal|96|9783937654317
How Computers Play Chess|David N. L. Levy, Monty Newborn, Monroe Newborn||Games|1991|W H Freeman & Company|246|0716781212
Huba Huba. Das Marsupilami-Buch. Kleine Zoologie des wahren Königs der Tiere|Andreas/Franquin Mietzsch|||1989|Sackmann u. Hörndl/Comicplus+|80|3924623023
Hundert Jahre deutsche Eisenbahnen||||1935||543|OCLC:600948291
Hundert Jahre Einsamkeit|Gabriel García Márquez||||Kiepenheuer & Witsch|477|
Hundert Tips für Aquarianer|Helmut Stallknecht|||1979|Urania Verlag Leipzig , Jena , Berlin|112|
Hundstage|Walter Kempowski|||1988|Albrecht Knaus Verlag München und Hamburg|415|
Höhenrausch: Die Mathematik des 20. Jahrhunderts in zwanzig Gehirnen|Dietmar Dath|||01/03/2005|Rowohlt Taschenbuch Verlag|352|9783499619465
Idoru (Bridge Trilogy, Band 2)|William Gibson|||01/09/1997|Berkley|400|0-425-15864-0
If It's Smart, It's Vulnerable|Mikko Hypponen|||2022|Wiley|262|9781119895183
Illuminatus!|Robert Shea, Robert Anton Wilson|||1997|Rowohlt Taschenbuch Verlag|398|9783499222719
Im Dienste der Partei|Torsten Diedrich, Hans Gotthard Ehlert, Rüdiger Wenzke||Germany (East)|1998|Ch. Links Verlag|719|9783861531609
Im Glanz der Sonne Zaurak|Michael Szameit|Kompaß-Bücherei (Band 325)||1983|Das neue Berlin|339|
Im Glauben an Gott und Hitler|Joachim Krause|||15/03/2018|Sax Verlag|128|9783867292122
Im Schatten der Tiefsee|Carlos Rasch|||1965|Das neue Berlin|272|
Im Sturm|Clancy, Tom, Wichmann, Hardo|||1996|Goldmann Verlag||9783442098248
Imperator. Die Germanicus-Trilogie 2|Kirk Mitchell|||09/1995|Bastei Lübbe|318|9783404230907
In der Krise des Systems|Hans-Peter Lühr|Dresdner Hefte (Band 101)||2010|Sandstein Verlag Dresden|104|9783910055988
Infrarot-Photographie|Albert Nürnberg|||1957|VEB Wilhelm Knapp Verlag Halle (Saale)|135|
Insel der Verdammten|James Jones||Militaria|1999|FISCHER Taschenbuch|526|9783596141883
Inseln im Chaos|Kate Wilhelm|||1996|Heyne|588|9783453118775
Inside Intel: Andrew Grove and the Rise of the World's Most Powerful Chip Company|Tim Jackson|||01/10/1997|Dutton Adult|424|9780525941415
Inversions|Iain Banks||Bodyguards|1999|Orbit Books|393|9781857237634
Ivanhoe|Walter Scott|||1984|Rütten & Loening Berlin|297|
Iwans Krieg|Catherine Merridale||Militaria|2008|FISCHER Taschenbuch|473|9783596173860
J. R. R. Tolkien. Eine Biographie.|Humphrey Carpenter|||1991|DTV Deutscher Taschenbuch|322|9783423115261
J.R.R.Tolkien|Katharyn W. Crabbe|||1981|Frederick Ungar|180|0804460914
Jagdflugzeuge Jagdbomber|Karl-Heinz Eyermann|Illustrierte Reihe für den Typensammler|Militaria|1969|Deutscher Militärverlag|155|
James Joyce|Richard Ellmann|||1996|Suhrkamp|1246|9783518390771
Jane Austen For Dummies (For Dummies Series)|Joan Elizabeth Ray|||14/07/2006|For Dummies|384|9780470008294
Jarhead|Anthony Swofford||Militaria|2003|Pocket Books|260|9780743248617
Jazz|Andre Asriel|||1966|VEB Lied der Zeit Musikverlag Berlin|287|
Jehudi Menuhin|AK|Die Zeit Klassik-Edition||2006|Metzler|64|3476022013
Jerusalem in Flammen. Roman.|Rebecca M. Meluch|||11/1993|Heyne Verlag|538|9783453050143
Jesus Menschensohn: Seine Worte und Taten, berichtet von Menschen, die ihn kannten|Khalil Gibran|||1998|Patmos|170|9783530267167
Johannes Brahms|Hans Gal|Bücher des Wissens (Band 395)||1961|Fischer Bücherei KG|162|
Johannes Paul II.: Das Geheimnis des Karol Wojtyla|Andreas Englisch|||14/04/2014|hockebooks|381|9783548367101
Johnnys Inferno|Ronald M. Hahn|||1993|Heyne|217|9783453066205
Josef Wissarionowitsch Stalin. Kurze Lebensbeschreibung|G.F. Alexandrow, M.P. Galaktionow, W.S. Krushkow, M.B. Mitin, W.D. Motschalow, M.P. Pospelow|||1951|Dietz Verlag Berlin|159|
Joyce' Ulysses|Frank T. Zumbach|||2000|Piper|143|9783492231381
Judo|Gerhard Lehmann||Judo|01/1989|Sportverlag|356|3328001476
Judoselbstverteidigung|Horst Wolf|||1986||203|3328001417
Jugendbilder in den DDR-Medien|AK|||1998|Bundeszentrale für politische Bildung|186|3893313451
Junge Talente|André Kubiczek|||12/03/2002|Rowohlt Berlin|224|387134446X
Just Can't Get Enough|Simon Spence||Music|01/10/2011|Jawbone Press|288|9781906002565
Just for fun|Linus Torvalds, David Diamond|||2001|Hanser Fachbuch|275|9783446216846
Karate|Albrecht Pflüger|||1969|S.B.J - Sportland|144|9783806802276
Karate, Vom Schüler zum Meister|Tommy Morris|||01/01/1992|Sportverlag|160|9783328005742
Karl-May-Haus Hohenstein-Ernstthal|Freistaat Sachsen Sächsische Landesstelle für Museumswesen, Mario Espig, Wolfgang Hallmann, Cristian Heermann, André Neubert, Kerstin Orantek, Hainer Plaul, Jens Pompe, Hartmut Schmidt, Hans D Steinmetz, Andreas Barth, Max U Wirz|Sächsische Museen (Band 20)|Heimat|2007|Verlag Janos Stekovics|184|9783899231717
Karpfenfische|Hans Frey|Zierfisch-Monographien (Band 2)|Aquaristik|1974|Neumann Verlag Leipzig Radebeul|124|
Kartenspiele für eine Person|Brenda Ralph Lewis|||2011|Edition XXL GmbH|111|9783897368897
Katzentisch|Michael Ondaatje|||2012|Echomedia Buchverlag,  Wien||
Keine Ruhe nach dem Sturm|Ulrike Heider|||2001|Rogner & Bernhard bei Zweitauseneins|324|3807702024
Kippenberg|Dieter Noll|||1983|Aufbau-Verlag Berlin und Weimar|627|
Kirchen einer Region|Wolfgang Gruner||Architektur|2021|Verlag für Kommunal- und Bürgerzeitungen Mitteldeutschland in|106|
Klassische Fundstellen der Paläontologie|Werner K. Weidert||Paleontology|1995|Goldschneck-Verlag|280|3926129190
Kleine Eisenbahn - ganz raffiniert|Gerhard Trost||Modellbau|1960|Verlag Neues Leben Berlin|316|
Kleine Enzyklopädie Natur|AK|||1983|VEB Bibliographisches Institut Leipzig|803|
Kleine Kirchengeschichte|August Franzen|||1965|Herder|399|
Kleines Wörterbuch der Marxistisch-Leninistischen Philosophie|Manfred Buhr, Alfred Kosing|||1974|Dietz Verlag Berlin|334|
Kommen wir nun zu etwas völlig anderem – 40 Jahre Monty Python|Volker Bleeck|||09/2008|Schüren Verlag GmbH|192|9783894726331
Kopfnüsse|Ivan Moscovich|||2007|Fleurus Verlag GmbH|128|9783897174504
Kosmische Puppen und andere Lebensformen|Philip K. Dick|||1986|Heyne|542|9783453313217
Kottan ermittelt. Geschichte aus dem Wienerwald. Roman|Helmut Zenker|||||0|9783492155403
Kottan Mania|Dieter Gölsdorf||Kottan ermittelt (Television program)|2007|Panama Publications|432|9783936732054
Kraft zum Leben|Jamie Buckingham|||2001||138|
Kreativ mit dem Computer|Hannes Gutzer||Informatik|1989|Urania Verlag Leipzig Jena Berlin|150|3332002929
Krebsstation. Buch I|Alexander Solschenizyn, Christiane Auras, Agathe Jais, Ingrid Tinzmann|||31/03/1971|Rowohlt Taschenbuch Verlag|256|3499113953
Krebsstation. Buch II|Alexander Solschenizyn|||01/09/1971|Rowohlt Taschenbuch Verlag|224|3499114372
Krieg ohne Fronten: Die USA in Vietnam|Bernd Greiner|||12/09/2007|Hamburger Edition, HIS|595|978-3-936096-80-4
Kriminalität in den DDR-Medien. Medienberatung 7|Rainer Waterkamp|||1998|Bundeszentrale für politische Bildung|178|389331346X
Kritik der zynischen Vernunft|Peter Sloterdijk|||2003|Suhrkamp|0|9783518124277
Kritik des Gothaer Programmentwurfs von 1875|Karl Marx, Friedrich Engels|||1974|Dietz Verlag Berlin|41|
Kuckucksei|Clifford Stoll|||1998|FISCHER Taschenbuch|457|9783596139842
Kurzer Abriß der deutschen Militärgeschichte|AK||Militaria|1984|Militärverlag der DDR|437|
Kurzer Prozeß|Peter Richter|||1993|Espresso/Elef.Press, Bln.|240|3885204622
Käptn Blaubär - der Film|Walter Moers||Käpt'n Blaubär (Motion picture)|1999|Eichborn|127|9783821829579
König Sejong der Große. Das ewige Licht Koreas.|Kichan Bae|||2006|Pohang, Korea : Yonghwa-Verl.,|116|0977961389
König und Bauer|Peter Donat|||1981|Kinderbuchverlag Berlin|159|
Körpersprache|Samy Molcho, Klinger/Lusznat|||01/01/1996|Goldmann|256|9783442126675
LATEX I. Einführung|Helmut Kopka||Informatik|1994|Addison Wesley Verlag|428|9783893196647
Laufen|Herbert Jost||Running|1992|Rowohlt Taschenbuch Verlag|253|9783499186554
Laufen ohne Risiko|Joe Ellis, Joe Henderson|||1995|Blv Buchverlag|239|9783405148355
Learning GNU Emacs|Debra Cameron, Bill Rosenblatt, Eric Raymond||Computers|1996|"""O'Reilly Media, Inc."""|533|9781565921528
Learning the bash Shell (Nutshell Handbooks)|Cameron Newham, Bill Rosenblatt||Informatik|1995|O'Reilly Media|292|9781565921474
Leben im Wassertropfen|Lothar Kalbe||Ökologie|1985|Urania Verlag Leipzig , Jena, Berlin|224|
Lebendgebärende Zahnkarpfen und ihre Zuchtformen|Helmut Stallknecht||Aquaristik|1989|Neumann Verlag Leipzig Radebeul|107|3740200553
Lebensweisheiten berühmter Philosophen|Stefan Knischek||Conduct of life|1999|Humboldt-Taschenbuchverlag|336|9783581671463
Lebenszeit|Gerhard Weber, Jörg Jacob||||Edition Waechterpappel|128|9783933629326
Legenden, Lügen, Vorurteile|Wolfgang Benz|||1992|Dtv|241|9783423046664
Lehrbuch der Botanik|Otto Schmeil||Botanik|1903|Erwin Nägele, Stuttgart und Leipzig|470|
Lehrbuch der Mineralogie|Hans Jürgen Rösler||Mineralogie|1981|VEB Deutscher Verlag für Grundstoffindustrie, Leipzig|833|
Lehrerzimmer|Markus Orths|||2004|Deutscher Taschenbuch Verlag|159|9783423132695
Leonardo da Vinci|Bruno Santi||Kunst|1990|Scala|80|
Letzte Ölung - Wie es anfing: Ausgesuchte Satiren - Erster Teil|Robert Gernhardt|||1988|Haffmans|240|9783251010240
Leviathan erwacht: Roman (The Expanse-Serie, Band 1)|James Corey, Jürgen Langowski|||13/02/2017|Heyne Taschenbuch|672|9783453317819
Lex & Yacc|John R. Levine, Tony Mason, Doug Brown||Computers|1992|"""O'Reilly Media, Inc."""|366|9781565920002
Lexikon der Terraristik und Herpetologie|Fritz Jürgen Obst, Klaus Richter, Udo Jacob||Biology|1984|Edition Leipzig|465|3784202799
Liberator|Kirk Mitchell||||Bastei/Lübbe, 1990, 1. Aufl.||9783404231034
Lieder der Hobbits|John Ronald Reuel Tolkien|||1993|Klett-Cotta Verlag|27|9783608932850
Liegen lernen|Frank Goosen|||10/2002|Heyne|334|9783453212244
Literatur der Deutschen Demokratischen Republik: Band 1|Hans Jürgen Geerds|||1974|Volk und Wissen, Berlin|608|
Literatur der Deutschen Demokratischen Republik: Band 2|Hans Jürgen Geerds|||1979|Volk und Wissen, Berlin|624|
Lohn der Angst|Georges Arnaud|||1979|Verlag Tribüne Berlin|164|
Lokomotiv-Archiv Sachsen 1|Fritz Näbrich, Günter Meyer, Reiner Preuß||Eisenbahn|1984|Transpress|214|
Lokomotiv-Archiv Sachsen 2|Fritz Näbrich, Günter Meyer, Reiner Preuß||Eisenbahn|1984|Transpress|213|
Look to Windward|Iain Banks||Composers|2000|Orbit Books|403|9781841490595
LTI: Notizbuch eines Philologen (Reclam Taschenbuch)|Elke Fröhlich, Elke Fröhlich, Victor Klemperer||||Reclam, Philipp, jun. GmbH, Verlag|416|9783150203651
Luc Lamarc 1. Die verzwickte Affäre|Jean-Claude Denis|||1987|Carlsen Verlag GmbH|62|3551026513
Luc Lamarc 2. Schwer genervt|Jean-Claude Denis|||1988|Carlsen Verlag GmbH|63|9783551026521
Luc Lamarc 3. Viel Rauch um nichts|Jean-Claude Denis|||01/02/1997|Carlsen Verlag GmbH|48|9783551026538
Lust|Elfriede Jelinek|||02/01/1992|Rowohlt Taschenbuch|272|9783499130427
Lübbes Mozart-Lexikon (Biographien. Bastei Lübbe Taschenbücher)|Erich Valentin|||1983|Lübbe|224|9783404613199
Machiavelli-ABC|Bernhard H. F. Taureck|||2002|Reclam, Leipzig|0|9783379200165
Magermilch und lange Strümpfe|Bernd-Lutz Lange|||1999|Gustav Kiepenheuer Verlag|218|3378006218
Magic, the Gathering|Kathryn Haines||Adventure games|1996|Carlton Books Ltd|222|9781858682402
Mai|Kazuya Kudo, Ryoichi Ikegami|||1996||94|9783893437566
Mai 04|Kazuya Kudo, Ryoichi Ikegami|||1997|Egmont Ehapa Verlag|102|9783893437597
Mai, Bd.2, Das Monster|Kazuya Kudo, Ryoichi Ikegami|||1996|Ehapa Verlag||9783893437573
Mai, Bd.3, Der Reisegefährte|Kazuya Kudo, Ryoichi Ikegami||||Ehapa Verlag|96|9783893437580
Mai, Bd.5, Allein|Kazuya Kudo, Ryoichi Ikegami|||1997|Egmont Ehapa Verlag|96|9783893437603
Mai, Bd.6, Hoffnung|Kazuya Kudo, Ryoichi Ikegami|||1995|Egmont Ehapa Verlag|104|9783893437610
Makroskopische Präparationstechnik. Teil 1: Wirbeltiere: Leitfaden für das Sammeln, Präparieren und Konservieren (German Edition)|Rudolf Piechocki, Hans Jürgen Altner|||01/12/1998|Spektrum Akademischer Verlag|461|9783437351907
Managing Projects with Make|Andrew Oram, Steve Talbott||Informatik|1991|"""O'Reilly Media, Inc."""|149|9780937175903
Manifest der Kommunistischen Partei|Karl Marx, Friedrich Engels|||1948|Dietz Verlag Berlin|88|
Marathon|Hal Higdon||Marathon running|1993|Rodale Books|207|9780875961590
Marc Chagall. Bilder zur Bibel|Iris Traudisch-Schröder|||1992|KunstBuch-Galerie Wiehl|105|
Marter und Bildstock: Betsäulen in Sachsen|Ulrich Eichler, Herbert Boswank, Ulrich Eichler|||2003|D.J.M.|128|3980309193
Marxistisch-leninistische Philosophie geschrieben für die Jugend|Erich Hahn, Alfred Kosing|||1983|Dietz Verlag Berlin|315|
Marxistische Philosophie|AK|||1967|Dietz Verlag Berlin|728|
Master of Middle-earth|Paul H. Kocher|||1974|Penguin Books Ltd|222|0140038779
Mathematik für Ingenieure|Wolfgang Brauch||Mathematik|1990|Vieweg+Teubner Verlag|752|3519365006
Matter|Iain Banks||Intelligence officers|2008|Little, Brown Book Group|593|9781841494180
Max Frisch|Hans Jürg Lüthi|||01/1997||222|3825210855
Maxim Gorki|Nina Gourfinkel|rororo Monographien (Band 50.009)||01/06/1958|Rowohlt Taschenbuch Verlag|192|9783499500091
Mazes for the Mind: Computers and the Unexpected|Clifford A. Pickover|||1992|Palgrave Macmillan|426|9780312103538
Mein Aquarium : Das praktische Handbuch für den Tierfreund. (Ein Dorling Kindersley Buch)|Mills Dick und Marcus Würmli|||1996|Stuttgart, Unipart Verlag,|288|9783812236232
Mein Sohn aber ist so frei: Erinnerungen besonders an das Jahr 1989|Gerhard Müller||||Kinzel, M|55|9783934071124
Meine Technik - meine Bilder|Jenö Dulovits|||1954|VEB Wilhelm Knapp Verlag Halle (Saale)|195|
Meisterwerke|Henri Cartier-Bresson|||2004|Schirmer /Mosel Verlag Gm|125|9783829601498
Memoiren, gefunden in der Badewanne|Stanisław Lem|||1979|Suhrkamp Verlag|285|9783518370087
Menschen an unserer Seite|Eduard Claudius|||1953|Verlag Volk und Welt Berlin|398|
Menschen wie Götter|Sergej Snegow|||2003|Das Neue Berlin|634|9783360008381
Merian, Tessin|AK|||1996|Gräfe & Unzer|130|9783774296060
Messer schärfen leicht gemacht|Stefan Steigerwald|||2010|Wieland Verlag|107|9783938711521
Michelangelo|Gillles Néret|||1999|Taschen Verlag|96|9783822863664
Micromounts. Arbeitsbuch für Mineraliensammler|Heiner Vollstädt, Günter Voigt, Andreas Vogel||Mineralogie|1987|VEB, Deutscher Verlag für Grundstoffindustrie|193|3342002328
Mikromegas|Voltaire|Die Bibliothek von Babel||1989|Goldmann|200|9783442087082
Mikroskopie|Werner Schlüter|||1986|Volk und Wissen, Berlin|336|
Millikan's School|Judith R. Goodstein||Technical institutes|1991|W. W. Norton|317|9780393030174
Mineralbestimmung durch einfache chemische Analytik|Jörg Otto||Mineralogie|1989|Kulturbund der DDR|56|
Minerale. Sammeln und bestimmen.|Rolf Seim||Mineralogie|1987|Urania-Verlag|409|3332001221
Mineralfundstellen, Ostharz, Sachsen-Anhalt und Lausitz|Heiner Vollstädt, Jürgen Siemroth, Stefan Weiss|||1991|Weise, Ch|128|3921656192
Mineralfundstellen, Thüringen und Vogtland|Heiner Vollstädt, Ralf Schmidt, Stefan Weiss|||1991|Weise, Ch|128|3921656206
Mineralogie|Manuel Font Altaba, Giuseppe Tanelli||Mineralogie|1993|Neuer Kaiser Vlg GmbH|95|9783704312204
Minolta Dynax 700si|Thomas Maschke|||1995|Laterna Magica /Callwey|216|9783874675352
Minusgrade - Auf der Suche nach dem absoluten Nullpunkt|Tom Shachtman|||01/01/2001|Rowohlt Tb.|317|9783499611186
Mittag, 22. Jahrhundert / Der Junge aus der Hölle|Arkadi und Boris Strugatzki|||1989|Das neue Berlin||3360002695
Mix mir einen Drink – Feeling B: Punk im Osten - Mit ausführlichen Interviews mit Paul Landers und Flake Lorenz|Ronald Galenza, Heinz Havemeister|||2002|Schwarzkopf & Schwarzkopf|448|9783896024183
Modellbahn-Bauten|Günter Fromm|transpress Modellbahnbücherei|Modellbau|1981|Transpress|160|
Modellbahnanlagen|Klaus Gerlach||Modellbau|1964|Transpress|183|
Modellbildung und Analyse von Rechensystemen|Dieter Zöbel, Elisabeth Balcerak|||1999|vdf Hochschulverlag AG|236|9783728126924
Modern Operating Systems: United States Edition|Andrew S. Tanenbaum|||2001|Pearson Education|960|9780130313584
Modernes Karate. Das große Standardwerk|Teruyuki Okazaki, Milorad V. Stricevic|||2003|Bassermann|374|9783809415213
Modernes Krafttraining|Jürgen Hartmann, Harold Tünnemann||Muscle strength|1988|Sportverlag|352|3328002545
Modular Sound Synthesis on the Moon|Tulpa Dusha, Pete Johnston|||2020|www.modularmoon.com|195|
Monolog des Mondes|Clotilde Bock|||2005|Jörg Vogt Verlag|160|3938860006
